1953,0
1954,91.97
1955,142.23
1956,243.53
1957,369.64
1958,435.35
1959,386.3
1960,799.44
1961,1001.33
1962,853.13
1963,1279.4
1964,1680.92
1965,1734.78
1966,1651.72
1967,1611.03
1968,1473.87
1969,1342.67
1970,1486.49
1971,1445.96
1972,1440.69
1973,1372.32
1974,1305.38
1975,1256.35
1976,1246.42
1977,1221.76
1978,1465.79
1979,1371.32
1980,1293.33
1981,1301.34
1982,1291.3
1983,1324.96
1984,1285.62
1985,1290.42
1986,1186.84
1987,1183.36
1988,1199.62
1989,1166.92
1990,1133.06
1991,1196.53
1992,1082.51
1993,1123.7
1994,1129.39
1995,1126.01
1996,1123.67
1997,1087.26
1998,1117.1
1999,1061.9
2000,1001.17
2001,890.8
2002,919.24
2003,989.27
2004,1016.84
2005,964.24
2006,874.81
2007,935.57
2008,950.1
2009,927.41
2010,792.13
2011,708.62
2012,653.81
